(458, 8.993091106414795)
(463, 9.02376413345337)
(468, 9.054279088973999)
(473, 9.085165977478027)
(478, 9.116823196411133)
(483, 9.148678064346313)
(488, 9.18002700805664)
(493, 9.210628986358643)
(498, 9.240877151489258)
(503, 9.272416114807129)
(508, 9.303164005279541)
(513, 9.334376096725464)
(518, 9.365892171859741)
(523, 9.397739171981812)
(528, 9.429344177246094)
(533, 9.464262008666992)
(538, 9.495675086975098)
(543, 9.52696418762207)
(548, 9.559448003768921)
(553, 9.590965986251831)
(558, 9.622405052185059)
(563, 9.653577089309692)
(568, 9.68382716178894)
(573, 9.714729070663452)
(578, 9.745542049407959)
(583, 9.77634596824646)
(588, 9.807483196258545)
(593, 9.837870121002197)
(598, 9.869299173355103)
(603, 9.90064001083374)
(608, 9.932353019714355)
(613, 9.96350908279419)
(618, 9.994662046432495)
(623, 10.025461196899414)
(628, 10.057219982147217)
(633, 10.088474988937378)
(638, 10.11997103691101)
(643, 10.15038800239563)
(648, 10.181481122970581)
(652, 10.212795972824097)
(656, 10.244086027145386)
(660, 10.275593996047974)
(664, 10.3070809841156)
(668, 10.337951183319092)
(672, 10.368842124938965)
(676, 10.400782108306885)
(680, 10.432082176208496)
(683, 10.472965002059937)
(685, 10.50390911102295)
(687, 10.535152196884155)
(687, 10.565932035446167)
(687, 10.5973060131073)
(686, 10.628535985946655)
(684, 10.65905499458313)
(680, 10.68995714187622)
(674, 10.720807075500488)
(668, 10.752488136291504)
(662, 10.78433609008789)
(656, 10.815629005432129)
(650, 10.847369194030762)
(644, 10.879435062408447)
(638, 10.911066055297852)
(632, 10.941647052764893)
(626, 10.973963022232056)
(620, 11.00770616531372)
(614, 11.042786121368408)
(608, 11.074130058288574)
(602, 11.105019092559814)
(596, 11.135985136032104)
(590, 11.169387102127075)
(584, 11.20051097869873)
(578, 11.231634140014648)
(572, 11.262053966522217)
(566, 11.292675018310547)
(560, 11.324599027633667)
(554, 11.364296197891235)
(548, 11.40140414237976)
(542, 11.434813976287842)
(536, 11.465845108032227)
(530, 11.497124195098877)
(524, 11.528554201126099)
(518, 11.559677124023438)
(512, 11.589933156967163)
(506, 11.621535062789917)
(500, 11.652806043624878)
(494, 11.683127164840698)
(488, 11.715075016021729)
(482, 11.746698141098022)
(476, 11.777695178985596)
(470, 11.807866096496582)
(464, 11.838793992996216)
(458, 11.869121074676514)
(452, 11.899240970611572)
(446, 11.93000316619873)
(440, 11.961625099182129)
(434, 11.993638038635254)
(428, 12.02497410774231)
(422, 12.055665969848633)
(416, 12.085957050323486)
(410, 12.117506980895996)
(404, 12.148181200027466)
(398, 12.178331136703491)
(392, 12.20913314819336)
(386, 12.240483045578003)
(380, 12.271718978881836)
(374, 12.302921056747437)
(368, 12.33429217338562)
(362, 12.365231990814209)
(356, 12.396301984786987)
(350, 12.433654069900513)
(344, 12.465485095977783)
(338, 12.496294975280762)
(332, 12.526297092437744)
(326, 12.557451009750366)
(320, 12.588540077209473)
(314, 12.619233131408691)
(308, 12.649556159973145)
(302, 12.680930137634277)
(296, 12.712498188018799)
(290, 12.743856191635132)
(284, 12.77512812614441)
(278, 12.805459976196289)
(272, 12.8367760181427)
(266, 12.867357015609741)
(260, 12.897927045822144)
(254, 12.927942991256714)
(248, 12.959326982498169)
(242, 12.99069619178772)
(236, 13.021848201751709)
(230, 13.052798986434937)
(224, 13.083410024642944)
(218, 13.114933967590332)
(212, 13.145483016967773)
(206, 13.176114082336426)
(200, 13.207144975662231)
(194, 13.237203121185303)
(188, 13.268717050552368)
(182, 13.300209999084473)
(176, 13.331477165222168)
(170, 13.362500190734863)
(164, 13.394387006759644)
(158, 13.426362991333008)
(152, 13.458449125289917)
(146, 13.490617990493774)
(140, 13.521847009658813)
(134, 13.552289009094238)
(128, 13.583539009094238)
(122, 13.61470913887024)
(116, 13.645303010940552)
(110, 13.67683219909668)
(104, 13.708190202713013)
(98, 13.738726139068604)
(92, 13.768676042556763)
(86, 13.799942016601562)
(80, 13.830100059509277)
(74, 13.860634088516235)
(68, 13.890948057174683)
(62, 13.922864198684692)
(56, 13.954361200332642)
(50, 13.985339164733887)
(44, 14.015520095825195)
(38, 14.04690408706665)
(32, 14.078593969345093)
(26, 14.10903811454773)
(20, 14.139846086502075)
(17, 14.171159982681274)
(17, 14.20191502571106)
(17, 14.23331618309021)
(17, 14.264186143875122)
(17, 14.294772148132324)
(17, 14.325176000595093)
(17, 14.357908010482788)
(17, 14.389783143997192)
(17, 14.421136140823364)
(17, 14.45435118675232)
(17, 14.48581600189209)
(17, 14.517260074615479)
(17, 14.54735517501831)
(17, 14.578019142150879)
(17, 14.609251976013184)
(17, 14.641378164291382)
(17, 14.67321515083313)
(17, 14.704394102096558)
(17, 14.735090017318726)
(17, 14.765613079071045)
(17, 14.797731161117554)
(17, 14.828180074691772)
(17, 14.858666181564331)
(17, 14.889122009277344)
(17, 14.920330047607422)
(17, 14.952278137207031)
(17, 14.98366403579712)
(18, 15.014392137527466)
(20, 15.044825077056885)
(25, 15.07648515701294)
(30, 15.107192993164062)
(35, 15.138329029083252)
(40, 15.169900178909302)
(45, 15.200894117355347)
(50, 15.231940031051636)
(55, 15.262638092041016)
(60, 15.29390001296997)
(65, 15.325538158416748)
(70, 15.357899188995361)
(75, 15.388869047164917)
(80, 15.420355081558228)
(85, 15.452399015426636)
(90, 15.48425817489624)
(95, 15.515887975692749)
(100, 15.546151161193848)
(105, 15.576853036880493)
(110, 15.608407974243164)
(115, 15.63966417312622)
(120, 15.672370195388794)
(125, 15.703870058059692)
(130, 15.735249042510986)
(135, 15.766993999481201)
(140, 15.799408197402954)
(145, 15.82989501953125)
